[INFO 2017-11-30 13:32:49,264 demo.py:191] Namespace(augment_reverse=False, batch_size=32, bg_move=False, bg_noise=0.5, data='chair', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, net_depth=11, num_frame=2, num_objects=1, rand_noise=0, resolution=256, save_dir='./', save_display=False, save_display_dir='./', save_interval=2001, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-11-30 13:32:53,586 demo.py:72] epoch 0, train loss: 28970.10, average train loss: 28970.10, base loss: 15044.23
[INFO 2017-11-30 13:32:55,048 demo.py:72] epoch 1, train loss: 31526.63, average train loss: 30248.37, base loss: 16062.67
[INFO 2017-11-30 13:32:56,102 demo.py:72] epoch 2, train loss: 22945.06, average train loss: 27813.93, base loss: 15528.22
[INFO 2017-11-30 13:32:57,102 demo.py:72] epoch 3, train loss: 35523.30, average train loss: 29741.27, base loss: 15859.17
[INFO 2017-11-30 13:32:58,204 demo.py:72] epoch 4, train loss: 19838.21, average train loss: 27760.66, base loss: 15491.95
[INFO 2017-11-30 13:32:59,183 demo.py:72] epoch 5, train loss: 22150.34, average train loss: 26825.61, base loss: 15575.04
[INFO 2017-11-30 13:33:00,186 demo.py:72] epoch 6, train loss: 21873.15, average train loss: 26118.11, base loss: 15334.02
[INFO 2017-11-30 13:33:01,175 demo.py:72] epoch 7, train loss: 20848.27, average train loss: 25459.38, base loss: 15521.16
[INFO 2017-11-30 13:33:02,149 demo.py:72] epoch 8, train loss: 17605.02, average train loss: 24586.68, base loss: 15580.40
[INFO 2017-11-30 13:33:03,123 demo.py:72] epoch 9, train loss: 17667.31, average train loss: 23894.74, base loss: 15592.25
[INFO 2017-11-30 13:33:04,128 demo.py:72] epoch 10, train loss: 18824.62, average train loss: 23433.82, base loss: 15441.92
[INFO 2017-11-30 13:33:05,118 demo.py:72] epoch 11, train loss: 18738.39, average train loss: 23042.53, base loss: 15311.72
[INFO 2017-11-30 13:33:06,113 demo.py:72] epoch 12, train loss: 14671.84, average train loss: 22398.63, base loss: 15221.40
[INFO 2017-11-30 13:33:07,153 demo.py:72] epoch 13, train loss: 21081.80, average train loss: 22304.57, base loss: 15235.20
[INFO 2017-11-30 13:33:08,153 demo.py:72] epoch 14, train loss: 22512.44, average train loss: 22318.43, base loss: 15150.12
[INFO 2017-11-30 13:33:09,182 demo.py:72] epoch 15, train loss: 22370.36, average train loss: 22321.68, base loss: 15369.96
[INFO 2017-11-30 13:33:10,215 demo.py:72] epoch 16, train loss: 15683.88, average train loss: 21931.22, base loss: 15322.27
