[INFO 2017-11-30 22:11:53,880 demo.py:203] Namespace(augment_reverse=False, batch_size=32, bg_move=True, bg_noise=0.5, data='chair', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, net_depth=11, num_frame=2, num_objects=1, rand_noise=0, resolution=256, save_dir='./', save_display=False, save_display_dir='./', save_interval=2001, seed=111, tensorboard_path='../../tensorboard/exp07_001', test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-11-30 22:11:59,170 demo.py:76] epoch 0, train loss: 2437.60, average train loss: 2437.60, base loss: 2556.26
[INFO 2017-11-30 22:12:00,538 demo.py:76] epoch 1, train loss: 2764.04, average train loss: 2600.82, base loss: 2736.01
[INFO 2017-11-30 22:12:01,610 demo.py:76] epoch 2, train loss: 3899.52, average train loss: 3033.72, base loss: 3300.41
[INFO 2017-11-30 22:12:02,647 demo.py:76] epoch 3, train loss: 2245.46, average train loss: 2836.66, base loss: 3126.46
[INFO 2017-11-30 22:12:03,578 demo.py:76] epoch 4, train loss: 769.79, average train loss: 2423.28, base loss: 2710.03
[INFO 2017-11-30 22:12:04,589 demo.py:76] epoch 5, train loss: 2983.04, average train loss: 2516.58, base loss: 2912.40
[INFO 2017-11-30 22:12:05,591 demo.py:76] epoch 6, train loss: 1718.81, average train loss: 2402.61, base loss: 2818.05
[INFO 2017-11-30 22:12:06,591 demo.py:76] epoch 7, train loss: 2201.89, average train loss: 2377.52, base loss: 2811.95
[INFO 2017-11-30 22:12:07,580 demo.py:76] epoch 8, train loss: 1447.44, average train loss: 2274.18, base loss: 2734.99
[INFO 2017-11-30 22:12:08,596 demo.py:76] epoch 9, train loss: 2805.67, average train loss: 2327.33, base loss: 2825.24
[INFO 2017-11-30 22:12:09,604 demo.py:76] epoch 10, train loss: 1710.80, average train loss: 2271.28, base loss: 2771.26
[INFO 2017-11-30 22:12:10,614 demo.py:76] epoch 11, train loss: 3178.55, average train loss: 2346.88, base loss: 2882.68
[INFO 2017-11-30 22:12:11,636 demo.py:76] epoch 12, train loss: 3504.51, average train loss: 2435.93, base loss: 3064.28
