[INFO 2017-12-12 19:31:49,696 demo.py:207] Namespace(augment_reverse=False, batch_size=32, bg_move=True, bg_noise=0.5, data='chair', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, net_depth=13, num_frame=2, num_objects=1, rand_noise=0, resolution=256, save_dir='./', save_display=False, save_display_dir='./', save_interval=6001, seed=111, tensorboard_path='../../tensorboard/exp08_005', test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=6000)
/home/yi/code/video_motion4/exp005/model.py:179: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  m_mask = F.softmax(self.conv(x13))
[INFO 2017-12-12 19:31:55,020 demo.py:76] epoch 0, train loss: 2098.45, average train loss: 2098.45, base loss: 1672.28
[INFO 2017-12-12 19:31:56,460 demo.py:76] epoch 1, train loss: 2148.46, average train loss: 2123.46, base loss: 1847.02
[INFO 2017-12-12 19:31:57,610 demo.py:76] epoch 2, train loss: 1711.05, average train loss: 1985.99, base loss: 1761.73
[INFO 2017-12-12 19:31:58,706 demo.py:76] epoch 3, train loss: 3394.59, average train loss: 2338.14, base loss: 2542.74
[INFO 2017-12-12 19:31:59,810 demo.py:76] epoch 4, train loss: 2011.76, average train loss: 2272.86, base loss: 2553.65
[INFO 2017-12-12 19:32:00,886 demo.py:76] epoch 5, train loss: 2089.91, average train loss: 2242.37, base loss: 2560.03
[INFO 2017-12-12 19:32:02,000 demo.py:76] epoch 6, train loss: 2305.73, average train loss: 2251.42, base loss: 2777.30
[INFO 2017-12-12 19:32:03,095 demo.py:76] epoch 7, train loss: 1876.39, average train loss: 2204.54, base loss: 2787.33
[INFO 2017-12-12 19:32:04,166 demo.py:76] epoch 8, train loss: 1806.36, average train loss: 2160.30, base loss: 2670.00
[INFO 2017-12-12 19:32:05,259 demo.py:76] epoch 9, train loss: 1510.56, average train loss: 2095.33, base loss: 2636.71
[INFO 2017-12-12 19:32:06,368 demo.py:76] epoch 10, train loss: 1339.59, average train loss: 2026.62, base loss: 2615.32
[INFO 2017-12-12 19:32:07,463 demo.py:76] epoch 11, train loss: 1554.45, average train loss: 1987.28, base loss: 2632.52
[INFO 2017-12-12 19:32:08,560 demo.py:76] epoch 12, train loss: 1168.47, average train loss: 1924.29, base loss: 2573.28
[INFO 2017-12-12 19:32:09,671 demo.py:76] epoch 13, train loss: 2181.18, average train loss: 1942.64, base loss: 2740.23
[INFO 2017-12-12 19:32:10,758 demo.py:76] epoch 14, train loss: 1532.50, average train loss: 1915.30, base loss: 2739.26
[INFO 2017-12-12 19:32:11,844 demo.py:76] epoch 15, train loss: 1584.83, average train loss: 1894.64, base loss: 2731.21
[INFO 2017-12-12 19:32:12,919 demo.py:76] epoch 16, train loss: 1705.25, average train loss: 1883.50, base loss: 2718.68
[INFO 2017-12-12 19:32:14,036 demo.py:76] epoch 17, train loss: 4062.77, average train loss: 2004.57, base loss: 3048.12
[INFO 2017-12-12 19:32:15,104 demo.py:76] epoch 18, train loss: 1019.91, average train loss: 1952.75, base loss: 2962.18
[INFO 2017-12-12 19:32:16,215 demo.py:76] epoch 19, train loss: 2253.07, average train loss: 1967.76, base loss: 3101.32
[INFO 2017-12-12 19:32:17,245 demo.py:76] epoch 20, train loss: 1525.66, average train loss: 1946.71, base loss: 3098.87
[INFO 2017-12-12 19:32:18,352 demo.py:76] epoch 21, train loss: 1923.26, average train loss: 1945.65, base loss: 3173.34
[INFO 2017-12-12 19:32:19,446 demo.py:76] epoch 22, train loss: 1789.87, average train loss: 1938.87, base loss: 3300.84
[INFO 2017-12-12 19:32:20,533 demo.py:76] epoch 23, train loss: 1535.89, average train loss: 1922.08, base loss: 3315.64
[INFO 2017-12-12 19:32:21,608 demo.py:76] epoch 24, train loss: 2341.00, average train loss: 1938.84, base loss: 3335.42
[INFO 2017-12-12 19:32:22,693 demo.py:76] epoch 25, train loss: 1089.59, average train loss: 1906.18, base loss: 3293.72
[INFO 2017-12-12 19:32:23,809 demo.py:76] epoch 26, train loss: 1233.47, average train loss: 1881.26, base loss: 3248.75
[INFO 2017-12-12 19:32:24,887 demo.py:76] epoch 27, train loss: 1973.19, average train loss: 1884.54, base loss: 3336.26
[INFO 2017-12-12 19:32:26,000 demo.py:76] epoch 28, train loss: 833.40, average train loss: 1848.30, base loss: 3275.02
[INFO 2017-12-12 19:32:27,072 demo.py:76] epoch 29, train loss: 1074.37, average train loss: 1822.50, base loss: 3229.08
[INFO 2017-12-12 19:32:28,173 demo.py:76] epoch 30, train loss: 2579.32, average train loss: 1846.91, base loss: 3281.43
[INFO 2017-12-12 19:32:29,252 demo.py:76] epoch 31, train loss: 1136.79, average train loss: 1824.72, base loss: 3271.56
[INFO 2017-12-12 19:32:30,324 demo.py:76] epoch 32, train loss: 535.92, average train loss: 1785.67, base loss: 3198.84
