[INFO 2017-12-20 18:02:22,668 demo.py:206] Namespace(augment_reverse=False, batch_size=32, bg_move=False, bg_noise=0.5, data='chair', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, net_depth=11, num_frame=2, num_objects=1, rand_noise=0, resolution=256, save_dir='./', save_display=False, save_display_dir='./', save_interval=2001, seed=111, tensorboard_path='../../tensorboard/exp04_006', test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-12-20 18:02:27,899 demo.py:79] epoch 0, train loss: 835366.44, average train loss: 835366.44, base loss: 848050.06
[INFO 2017-12-20 18:02:29,244 demo.py:79] epoch 1, train loss: 941587.12, average train loss: 888476.78, base loss: 906169.69
[INFO 2017-12-20 18:02:30,307 demo.py:79] epoch 2, train loss: 772260.38, average train loss: 849737.98, base loss: 871751.96
[INFO 2017-12-20 18:02:31,300 demo.py:79] epoch 3, train loss: 959664.12, average train loss: 877219.52, base loss: 898277.83
[INFO 2017-12-20 18:02:32,337 demo.py:79] epoch 4, train loss: 839060.44, average train loss: 869587.70, base loss: 892491.74
[INFO 2017-12-20 18:02:33,341 demo.py:79] epoch 5, train loss: 566859.06, average train loss: 819132.93, base loss: 841593.61
[INFO 2017-12-20 18:02:34,364 demo.py:79] epoch 6, train loss: 978710.31, average train loss: 841929.70, base loss: 865342.54
[INFO 2017-12-20 18:02:35,419 demo.py:79] epoch 7, train loss: 912015.31, average train loss: 850690.40, base loss: 872298.89
[INFO 2017-12-20 18:02:36,427 demo.py:79] epoch 8, train loss: 794609.75, average train loss: 844459.22, base loss: 864124.11
[INFO 2017-12-20 18:02:37,444 demo.py:79] epoch 9, train loss: 842402.75, average train loss: 844253.57, base loss: 862634.45
[INFO 2017-12-20 18:02:38,429 demo.py:79] epoch 10, train loss: 727377.19, average train loss: 833628.44, base loss: 849701.41
[INFO 2017-12-20 18:02:39,440 demo.py:79] epoch 11, train loss: 739129.12, average train loss: 825753.50, base loss: 840947.79
